date,stage_01080,stage_01120,stage_01145,stage_01160,stage_01220,stage_01280,stage_01300,stage_01390,stage_01400,stage_01440,stage_01480,stage_01515,stage_01545,stage_01670
2025-04-23,58.9525,56.3275,47.11166666666667,39.754583333333336,27.42291666666667,18.871249999999996,14.155000000000001,8.079583333333334,6.150833333333334,3.9024999999999994,3.8725,-830.20375,1.5660833333333335,0.22416666666666663
2025-04-24,31.188333333333333,56.92125,47.75125,40.41125,28.017500000000002,19.32708333333333,14.500416666666666,8.284583333333334,6.309166666666666,4.015000000000001,3.8941666666666666,-1664.385,1.6089999999999998,0.21583333333333354
2025-04-25,37.87916666666667,57.40083333333333,48.303333333333335,40.9625,28.520833333333336,19.680416666666666,14.787500000000001,8.39125,6.405,4.053333333333334,3.910416666666667,-831.125,1.5669166666666665,0.1429166666666668
2025-04-26,60.337916666666665,57.867916666666666,48.81125,41.49166666666667,28.989583333333332,19.999583333333334,15.023333333333333,8.51625,6.4975,4.125,3.9741666666666666,-1247.4504166666668,1.6223333333333332,0.20374999999999988
2025-04-27,60.52708333333334,58.1075,49.1275,41.869166666666665,29.357499999999998,20.215416666666666,15.254999999999999,8.588333333333333,6.550833333333333,4.117083333333333,3.92375,-831.12125,1.6015,0.13708333333333345
2025-04-28,60.68375,58.246249999999996,49.27583333333333,41.987500000000004,29.492916666666666,20.281666666666666,15.347083333333334,8.678333333333333,6.609583333333333,4.214583333333334,4.059583333333333,-831.2320833333333,1.7123333333333333,0.2120833333333334
2025-04-29,60.81583333333333,58.3375,49.393750000000004,42.07583333333333,29.56208333333333,20.33958333333333,15.384583333333332,8.709166666666667,6.6175,4.1975,4.040416666666667,2.2395833333333335,1.6844166666666667,0.12125000000000008
2025-04-30,60.830000000000005,58.35541666666667,49.435,42.128750000000004,29.594583333333336,20.379583333333333,15.455000000000002,8.75625,6.66375,4.272500000000001,4.1745833333333335,2.3495833333333334,1.8173333333333335,0.3383333333333334
2025-05-01,60.76916666666667,58.295,49.42416666666667,42.16291666666667,29.617916666666666,20.401666666666664,15.44625,8.768333333333333,6.692083333333333,4.290416666666667,4.154166666666667,2.3541666666666665,1.8073333333333332,0.36083333333333334
2025-05-02,60.669583333333335,58.17166666666667,49.338750000000005,42.0575,29.550833333333333,20.404999999999998,15.427083333333332,8.774583333333334,6.703333333333333,4.300416666666667,4.194583333333333,2.3641666666666667,1.826083333333333,0.3641666666666665
2025-05-03,60.52458333333333,58.04875,49.293749999999996,42.03125,29.588333333333335,20.394583333333333,15.453333333333333,8.820416666666667,6.769166666666667,4.36125,4.245416666666667,2.4454166666666666,1.88525,0.45666666666666655
2025-05-04,60.23875,57.757083333333334,49.07750000000001,41.86958333333333,29.458750000000002,20.344166666666666,15.38625,8.74375,6.683333333333334,4.279166666666667,4.147916666666667,2.32,1.7435833333333333,0.22625000000000006
2025-05-05,59.8025,57.31041666666666,48.67333333333334,41.456250000000004,29.124166666666664,20.143749999999997,15.238333333333333,8.702083333333333,6.650416666666666,4.269583333333333,4.2125,2.3354166666666667,1.7969166666666667,0.32666666666666666
2025-05-06,59.314166666666665,56.76083333333333,48.07375,40.91041666666667,28.64666666666667,19.866249999999997,15.037083333333335,8.61375,6.564583333333332,4.204583333333334,4.07625,2.2695833333333333,1.699833333333333,0.23458333333333337
2025-05-07,59.17208333333333,56.6375,47.86041666666667,40.64833333333333,28.447499999999998,19.752916666666664,14.976666666666667,8.684583333333334,6.662916666666667,4.3758333333333335,4.328333333333333,2.5083333333333333,1.8906666666666667,0.3933333333333333
2025-05-08,58.89958333333333,56.40208333333333,47.6,40.432916666666664,28.220833333333335,19.48083333333333,14.728749999999998,8.476666666666667,6.480833333333333,4.176666666666668,4.123333333333333,2.3291666666666666,1.7348333333333332,0.3570833333333334
2025-05-09,58.423750000000005,55.92583333333333,47.14458333333334,40.01416666666667,27.828333333333337,19.22,14.522083333333335,8.360000000000001,6.404166666666666,4.098750000000001,4.149583333333333,2.3420833333333335,1.7298333333333333,0.3437500000000002
2025-05-10,57.97208333333333,55.43458333333333,46.64958333333333,39.597500000000004,27.511666666666667,18.976666666666667,14.329166666666666,8.305833333333334,6.359166666666667,4.124583333333334,4.16,-414.34999999999997,1.8014999999999999,0.40541666666666676
2025-05-11,57.5225,54.964166666666664,46.044999999999995,38.946666666666665,26.904999999999998,18.60625,14.057916666666667,8.15,6.267916666666667,4.108333333333333,4.19875,2.4041666666666663,1.8165,0.4850000000000001
2025-05-12,57.02875,54.48375,45.4925,38.37875,26.416249999999998,18.217499999999998,13.725416666666668,7.927499999999999,6.082083333333333,3.9287500000000004,4.120833333333334,2.310416666666667,1.7431666666666668,0.4583333333333335
2025-05-13,56.614583333333336,54.08083333333333,45.00541666666666,37.856249999999996,25.935416666666665,17.912499999999998,13.4575,7.767499999999999,5.93,3.822083333333333,3.9775,2.18125,1.5860833333333333,0.3404166666666666
2025-05-14,-781.7333333333333,53.73166666666667,44.57916666666667,37.41708333333333,25.485000000000003,17.568749999999998,13.178333333333335,7.585416666666667,5.794999999999999,3.6879166666666667,3.9033333333333333,-414.59375,1.5165,0.20875
2025-05-15,-782.0074999999999,53.425,44.25625,37.04708333333333,25.137083333333333,17.311249999999998,13.010000000000002,7.487916666666667,5.698333333333333,3.6374999999999997,3.8400000000000003,-4165.02625,1.4614999999999998,0.24
2025-05-16,55.70708333333334,53.13041666666667,43.96208333333333,36.720416666666665,24.863333333333333,17.06583333333333,12.820833333333333,7.361666666666667,5.576666666666667,3.5579166666666664,3.7329166666666667,-9999.0,1.3498333333333332,0.09000000000000008
2025-05-17,-363.51624999999996,52.861666666666665,43.687916666666666,36.455416666666665,24.600416666666668,16.834999999999997,12.619166666666665,7.232083333333333,5.458749999999999,3.49,3.6616666666666666,-9999.0,1.2531666666666665,0.03458333333333341
2025-05-18,55.1775,52.579166666666666,43.39291666666667,36.18125,24.344583333333336,16.610833333333332,12.447916666666668,7.108333333333333,5.355833333333333,3.3829166666666666,3.5620833333333333,-9999.0,1.1735833333333334,-0.057499999999999885
2025-05-19,54.899166666666666,52.30583333333333,43.10375,35.877916666666664,24.071666666666665,16.45375,12.352083333333333,7.100416666666667,5.31,3.3925,3.6258333333333335,-5831.987916666666,1.224,0.016250000000000098
2025-05-20,54.58041666666667,51.974583333333335,42.794999999999995,35.59791666666667,23.814583333333335,16.291666666666664,12.235833333333332,7.0562499999999995,5.299166666666667,3.3754166666666667,3.6254166666666667,-4581.974166666667,1.2206666666666668,0.05541666666666667
