DateTime,Value
2023-03-25T00:00:00,50.270
2023-03-25T01:00:00,50.250
2023-03-25T02:00:00,50.200
2023-03-25T03:00:00,50.160
2023-03-25T04:00:00,50.130
2023-03-25T05:00:00,50.110
2023-03-25T06:00:00,50.040
2023-03-25T07:00:00,50.050
2023-03-25T08:00:00,50.040
2023-03-25T09:00:00,49.970
2023-03-25T10:00:00,49.950
2023-03-25T11:00:00,49.920
2023-03-25T12:00:00,49.870
2023-03-25T13:00:00,49.810
2023-03-25T14:00:00,49.800
2023-03-25T15:00:00,49.760
2023-03-25T16:00:00,49.680
2023-03-25T17:00:00,49.660
2023-03-25T18:00:00,49.620
2023-03-25T19:00:00,49.620
2023-03-25T20:00:00,49.570
2023-03-25T21:00:00,49.470
2023-03-25T22:00:00,49.420
2023-03-25T23:00:00,49.360
2023-03-26T00:00:00,49.310
2023-03-26T01:00:00,49.280
2023-03-26T02:00:00,49.280
2023-03-26T03:00:00,49.240
2023-03-26T04:00:00,49.140
2023-03-26T05:00:00,49.160
2023-03-26T06:00:00,49.110
2023-03-26T07:00:00,49.020
2023-03-26T08:00:00,49.010
2023-03-26T09:00:00,48.920
2023-03-26T10:00:00,48.900
2023-03-26T11:00:00,48.870
2023-03-26T12:00:00,48.880
2023-03-26T13:00:00,48.790
2023-03-26T14:00:00,48.770
2023-03-26T15:00:00,48.750
2023-03-26T16:00:00,48.710
2023-03-26T17:00:00,48.680
2023-03-26T18:00:00,48.640
2023-03-26T19:00:00,48.630
2023-03-26T20:00:00,48.580
2023-03-26T21:00:00,48.510
2023-03-26T22:00:00,48.430
2023-03-26T23:00:00,48.420
2023-03-27T00:00:00,48.420
2023-03-27T01:00:00,48.350
2023-03-27T02:00:00,48.320
2023-03-27T03:00:00,48.240
2023-03-27T04:00:00,48.230
2023-03-27T05:00:00,48.190
2023-03-27T06:00:00,48.170
2023-03-27T07:00:00,48.120
2023-03-27T08:00:00,48.090
2023-03-27T09:00:00,48.040
2023-03-27T10:00:00,48.040
2023-03-27T11:00:00,47.960
2023-03-27T12:00:00,47.930
2023-03-27T13:00:00,47.920
2023-03-27T14:00:00,47.880
2023-03-27T15:00:00,47.840
2023-03-27T16:00:00,47.830
2023-03-27T17:00:00,47.800
2023-03-27T18:00:00,47.770
2023-03-27T19:00:00,47.750
2023-03-27T20:00:00,47.710
2023-03-27T21:00:00,47.710
2023-03-27T22:00:00,47.620
2023-03-27T23:00:00,47.610
2023-03-28T00:00:00,47.580
2023-03-28T01:00:00,47.540
2023-03-28T02:00:00,47.520
2023-03-28T03:00:00,47.490
2023-03-28T04:00:00,47.490
2023-03-28T05:00:00,47.430
2023-03-28T06:00:00,47.390
2023-03-28T07:00:00,47.400
2023-03-28T08:00:00,47.320
2023-03-28T09:00:00,47.370
2023-03-28T10:00:00,47.360
2023-03-28T11:00:00,47.340
2023-03-28T12:00:00,47.330
2023-03-28T13:00:00,47.330
2023-03-28T14:00:00,47.770
2023-03-28T15:00:00,47.290
2023-03-28T16:00:00,47.250
2023-03-28T17:00:00,47.320
2023-03-28T18:00:00,47.550
2023-03-28T19:00:00,47.530
2023-03-28T20:00:00,47.530
2023-03-28T21:00:00,47.510
2023-03-28T22:00:00,47.480
2023-03-28T23:00:00,47.480
2023-03-29T00:00:00,47.430
2023-03-29T01:00:00,47.450
2023-03-29T02:00:00,47.410
2023-03-29T03:00:00,47.430
2023-03-29T04:00:00,47.400
2023-03-29T05:00:00,47.390
2023-03-29T06:00:00,47.370
2023-03-29T07:00:00,47.370
2023-03-29T08:00:00,47.380
2023-03-29T09:00:00,47.360
2023-03-29T10:00:00,47.310
2023-03-29T11:00:00,47.320
2023-03-29T12:00:00,47.320
2023-03-29T13:00:00,47.210
2023-03-29T14:00:00,47.310
2023-03-29T15:00:00,47.290
2023-03-29T16:00:00,47.290
2023-03-29T17:00:00,47.240
2023-03-29T18:00:00,47.290
2023-03-29T19:00:00,47.250
2023-03-29T20:00:00,47.230
