# ============================================================
# Datum Adjustment Archive — LMR_QAQC System
# Source PDF  : Mississippi River below Bonnet Carre Spillway (Norco) Gage Datasheet.pdf
# USACE Code  : 01280
# Generated   : 2026-04-23T01:45:15 UTC
#
# ASSUMPTIONS APPLIED BY LMR_QAQC
# ----------------------------------
# 1. Raw stage values downloaded from the RiverGages API carry no vertical
#    datum metadata. The USACE does not transmit datum information through
#    the API — it is documented only in the gage datasheet PDFs in GageNotes/.
#    The adjustment records in each per-station archive file are therefore the
#    sole authoritative source of datum change history for that station.
#
# 2. Adjustment factors are in FEET and are ADDITIVE:
#      corrected_stage_ft = raw_stage_ft + factor_ft
#    A negative factor lowers stage (e.g. re-levelling found the gage was
#    reading high); a positive factor raises it.
#
# 3. During training only adjustments whose target_datum contains "NAVD88"
#    are applied, normalising all stations to a common NAVD88 reference.
#    Adjustments targeting other datums (e.g. NGVD29, MSL) are archived
#    here for completeness but are NOT applied.
#
# 4. When adjustment periods from different NAVD88 epochs overlap the same
#    calendar dates, the row with the most recent (highest numeric)
#    target_epoch takes priority. Older epoch rows are skipped for those
#    dates to avoid double-counting.
#
# 5. Rows with no end_date are open-ended: the correction is applied from
#    start_date through the end of the available data record.
#
# 6. Rows where (end_date - start_date) < 2 days are excluded. These are
#    single-entry datum-transition bookkeeping records used by the USACE to
#    mark the instant of a re-levelling, not sustained corrections to the
#    continuous stage time series.
#
# COLUMNS (pipe-delimited; empty end_date = open-ended correction)
# cal_datum|target_datum|factor_ft|start_date|end_date|target_epoch|notes
# ============================================================
NGVD29 (1983)|NAVD88|-1.18|2025-01-24T00:00:00||OPUS|Adjustment of Gage 01280 determined via differential levelling constrained to primary benchmark 24064 P 1. Elevation of 24064 P 1determined via OPUS Shared observation done in Jan 2025. This OPUS observation was done in conjunction with an update of all MVN Mississippi River gages and Primary Control Points (benchmarks) done in late 2024 / early 2025 (EDD-S Job 24-064S). Add the gage adjustment factor to the raw gage reading to determine the NAVD88 value as per OPUS measurement in 2024.
NGVD29 (1983)|NAVD88|-0.9|2018-05-02T00:00:00|||add -0.90' to adjust gage to NAVD88 (2009.55); adjustment determined from RTK survey with base set up on G95, elevation = 27.01'; metadata indicated GPS issues; USE THIS ADJUSTMENT WITH CAUTION
NGVD29 (1983)|NAVD88|-0.76|2011-03-21T00:00:00||2004.65|add -0.76' to shift data to NAVD88 (2004.65)
NGVD29 (1983)|NAVD88|-0.8|2010-04-07T00:00:00|2010-04-08T00:00:00|2004.65|add -0.80' to shift data to NAVD88 (2004.65)
NGVD29 (1983)|NAVD88|-0.79|2009-11-24T00:00:00|2009-11-25T00:00:00|2004.65|add -0.79' to shift data to NAVD88 (2004.65)
NGVD29 (1983)|NAVD88|-0.92|2007-11-28T00:00:00|2007-11-29T00:00:00|2004.65|gage divergence; add -0.920' to shift data to NAVD88 (2004.65); elevation PBM G-95 = 27.11' NAVD88 (2004.65)
NGVD29 (1955)|NGVD29|-0.49|1976-10-26T00:00:00|1976-10-27T00:00:00|1976|add -0.49 to shift data to MSL (1976)
NGVD29 (1951)|NGVD29|-0.077|1953-01-28T00:00:00|1953-01-29T00:00:00|1955|add -0.077' to shift data to MSL (1953)
